A,B,Step,InitCondNum,State
0,1,64,2,01
0,0,65,2,00
1,0,66,2,10
0,0,67,2,00
0,1,68,2,01
0,1,69,2,01
0,0,70,2,00
1,0,71,2,10
0,0,72,2,00
1,0,73,2,10
0,0,74,2,00
0,1,75,2,01
0,1,76,2,01
0,1,77,2,01
0,1,78,2,01
0,1,79,2,01
0,1,80,2,01
0,0,81,2,00
1,0,82,2,10
0,0,83,2,00
1,0,84,2,10
0,0,85,2,00
0,1,86,2,01
0,1,87,2,01
0,0,88,2,00
1,0,89,2,10
0,0,90,2,00
1,0,91,2,10
0,0,92,2,00
1,0,93,2,10
0,0,94,2,00
0,1,95,2,01
0,0,96,2,00
0,1,97,2,01
0,1,98,2,01
0,1,99,2,01
0,0,100,2,00
0,1,101,2,01
0,1,1,3,01
0,0,2,3,00
1,0,3,3,10
0,0,4,3,00
1,0,5,3,10
1,0,6,3,10
0,0,7,3,00
0,1,8,3,01
0,0,9,3,00
0,1,10,3,01
0,0,11,3,00
0,1,12,3,01
0,1,13,3,01
0,0,14,3,00
0,1,15,3,01
0,0,16,3,00
0,1,17,3,01
0,1,18,3,01
0,1,19,3,01
0,0,20,3,00
0,1,21,3,01
0,1,22,3,01
0,0,23,3,00
0,1,24,3,01
0,1,25,3,01
0,1,26,3,01
0,0,27,3,00
1,0,28,3,10
1,0,29,3,10
1,0,30,3,10
1,0,31,3,10
0,0,32,3,00
0,1,33,3,01
0,0,34,3,00
0,1,35,3,01
0,0,36,3,00
1,0,37,3,10
1,0,38,3,10
0,0,39,3,00
0,1,40,3,01
0,1,41,3,01
0,0,42,3,00
1,0,43,3,10
0,0,44,3,00
0,1,45,3,01
0,0,46,3,00
0,1,47,3,01
0,1,48,3,01
0,0,49,3,00
1,0,50,3,10
0,0,51,3,00
1,0,52,3,10
1,0,53,3,10
1,0,54,3,10
1,0,55,3,10
0,0,56,3,00
0,1,57,3,01
0,0,58,3,00
0,1,59,3,01
0,0,60,3,00
0,1,61,3,01
0,1,62,3,01
0,0,63,3,00
1,0,64,3,10
1,0,65,3,10
0,0,66,3,00
0,1,67,3,01
0,0,68,3,00
1,0,69,3,10
0,0,70,3,00
0,1,71,3,01
0,0,72,3,00
0,1,73,3,01
0,1,74,3,01
0,0,75,3,00
0,1,76,3,01
0,1,77,3,01
0,0,78,3,00
1,0,79,3,10
0,0,80,3,00
0,1,81,3,01
0,1,82,3,01
0,1,83,3,01
0,0,84,3,00
0,1,85,3,01
0,1,86,3,01
0,1,87,3,01
0,1,88,3,01
0,0,89,3,00
1,0,90,3,10
1,0,91,3,10
1,0,92,3,10
1,0,93,3,10
1,0,94,3,10
0,0,95,3,00
1,0,96,3,10
1,0,97,3,10
0,0,98,3,00
0,1,99,3,01
0,0,100,3,00
0,1,101,3,01
0,1,1,3,01
0,0,2,3,00
0,1,3,3,01
0,0,4,3,00
0,1,5,3,01
0,1,6,3,01
0,0,7,3,00
1,0,8,3,10
0,0,9,3,00
1,0,10,3,10
0,0,11,3,00
1,0,12,3,10
0,0,13,3,00
0,1,14,3,01
0,0,15,3,00
1,0,16,3,10
1,0,17,3,10
1,0,18,3,10
1,0,19,3,10
1,0,20,3,10
1,0,21,3,10
1,0,22,3,10
0,0,23,3,00
1,0,24,3,10
0,0,25,3,00
1,0,26,3,10
1,0,27,3,10
1,0,28,3,10
0,0,29,3,00
0,1,30,3,01
0,0,31,3,00
1,0,32,3,10
0,0,33,3,00
0,1,34,3,01
0,0,35,3,00
1,0,36,3,10
0,0,37,3,00
0,1,38,3,01
0,1,39,3,01
0,0,40,3,00
1,0,41,3,10
1,0,42,3,10
1,0,43,3,10
1,0,44,3,10
0,0,45,3,00
1,0,46,3,10
0,0,47,3,00
0,1,48,3,01
0,1,49,3,01
0,0,50,3,00
1,0,51,3,10
0,0,52,3,00
1,0,53,3,10
0,0,54,3,00
1,0,55,3,10
1,0,56,3,10
1,0,57,3,10
1,0,58,3,10
0,0,59,3,00
1,0,60,3,10
0,0,61,3,00
1,0,62,3,10
1,0,63,3,10
1,0,64,3,10
1,0,65,3,10
0,0,66,3,00
1,0,67,3,10
0,0,68,3,00
0,1,69,3,01
0,1,70,3,01
0,1,71,3,01
0,1,72,3,01
0,0,73,3,00
1,0,74,3,10
1,0,75,3,10
1,0,76,3,10
0,0,77,3,00
0,1,78,3,01
0,1,79,3,01
0,1,80,3,01
0,1,81,3,01
0,1,82,3,01
0,0,83,3,00
1,0,84,3,10
1,0,85,3,10
1,0,86,3,10
0,0,87,3,00
0,1,88,3,01
0,0,89,3,00
0,1,90,3,01
0,1,91,3,01
0,1,92,3,01
0,0,93,3,00
0,1,94,3,01
0,1,95,3,01
0,0,96,3,00
1,0,97,3,10
1,0,98,3,10
1,0,99,3,10
1,0,100,3,10
1,0,101,3,10
0,1,1,3,01
0,1,2,3,01
0,0,3,3,00
0,1,4,3,01
0,1,5,3,01
0,1,6,3,01
0,0,7,3,00
1,0,8,3,10
0,0,9,3,00
1,0,10,3,10
0,0,11,3,00
0,1,12,3,01
0,1,13,3,01
0,1,14,3,01
0,1,15,3,01
0,1,16,3,01
0,1,17,3,01
0,1,18,3,01
0,0,19,3,00
1,0,20,3,10
0,0,21,3,00
1,0,22,3,10
1,0,23,3,10
1,0,24,3,10
1,0,25,3,10
1,0,26,3,10
1,0,27,3,10
0,0,28,3,00
1,0,29,3,10
1,0,30,3,10
0,0,31,3,00
1,0,32,3,10
1,0,33,3,10
1,0,34,3,10
1,0,35,3,10
1,0,36,3,10
1,0,37,3,10
1,0,38,3,10
0,0,39,3,00
0,1,40,3,01
0,1,41,3,01
0,0,42,3,00
0,1,43,3,01
0,1,44,3,01
0,1,45,3,01
0,0,46,3,00
0,1,47,3,01
0,1,48,3,01
0,1,49,3,01
0,1,50,3,01
0,0,51,3,00
1,0,52,3,10
0,0,53,3,00
1,0,54,3,10
1,0,55,3,10
1,0,56,3,10
0,0,57,3,00
1,0,58,3,10
1,0,59,3,10
0,0,60,3,00
1,0,61,3,10
0,0,62,3,00
0,1,63,3,01
0,1,64,3,01
0,0,65,3,00
0,1,66,3,01
0,0,67,3,00
1,0,68,3,10
1,0,69,3,10
1,0,70,3,10
0,0,71,3,00
1,0,72,3,10
0,0,73,3,00
0,1,74,3,01
0,1,75,3,01
0,0,76,3,00
1,0,77,3,10
1,0,78,3,10
1,0,79,3,10
1,0,80,3,10
0,0,81,3,00
0,1,82,3,01
0,0,83,3,00
0,1,84,3,01
0,1,85,3,01
0,1,86,3,01
0,1,87,3,01
0,0,88,3,00
0,1,89,3,01
0,0,90,3,00
1,0,91,3,10
0,0,92,3,00
0,1,93,3,01
0,0,94,3,00
1,0,95,3,10
1,0,96,3,10
0,0,97,3,00
0,1,98,3,01
0,1,99,3,01
0,1,100,3,01
0,1,101,3,01
0,1,1,3,01
0,1,2,3,01
0,0,3,3,00
1,0,4,3,10
0,0,5,3,00
1,0,6,3,10
0,0,7,3,00
0,1,8,3,01
0,0,9,3,00
0,1,10,3,01
0,1,11,3,01
0,0,12,3,00
0,1,13,3,01
0,0,14,3,00
0,1,15,3,01
0,1,16,3,01
0,1,17,3,01
0,1,18,3,01
0,0,19,3,00
1,0,20,3,10
1,0,21,3,10
0,0,22,3,00
0,1,23,3,01
0,0,24,3,00
0,1,25,3,01
0,0,26,3,00
1,0,27,3,10
0,0,28,3,00
1,0,29,3,10
0,0,30,3,00
1,0,31,3,10
1,0,32,3,10
1,0,33,3,10
0,0,34,3,00
0,1,35,3,01
0,0,36,3,00
0,1,37,3,01
0,1,38,3,01
0,0,39,3,00
1,0,40,3,10
1,0,41,3,10
1,0,42,3,10
0,0,43,3,00
1,0,44,3,10
0,0,45,3,00
0,1,46,3,01
0,1,47,3,01
0,0,48,3,00
0,1,49,3,01
0,1,50,3,01
0,1,51,3,01
0,0,52,3,00
0,1,53,3,01
0,1,54,3,01
0,1,55,3,01
0,1,56,3,01
0,1,57,3,01
0,0,58,3,00
0,1,59,3,01
0,1,60,3,01
0,0,61,3,00
1,0,62,3,10
1,0,63,3,10
0,0,64,3,00
1,0,65,3,10
1,0,66,3,10
0,0,67,3,00
1,0,68,3,10
0,0,69,3,00
0,1,70,3,01
0,0,71,3,00
0,1,72,3,01
0,0,73,3,00
1,0,74,3,10
1,0,75,3,10
1,0,76,3,10
0,0,77,3,00
